PolicyType.LoadBalancingSimple,100.0.16.0/24,2,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},luxembourg
PolicyType.LoadBalancingSimple,100.0.16.0/24,2,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},rotterdam
PolicyType.LoadBalancingSimple,100.0.16.0/24,3,paris,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},paris
PolicyType.LoadBalancingSimple,100.0.16.0/24,4,madrid,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},madrid
PolicyType.LoadBalancingSimple,100.0.17.0/24,2,stockholm,PolicyStatus.HOLDS,{9},{dublin:FastEthernet0/0 (100.0.17.0/24)},stockholm
PolicyType.LoadBalancingSimple,100.0.17.0/24,2,vaduz,PolicyStatus.HOLDS,{9},{dublin:FastEthernet0/0 (100.0.17.0/24)},vaduz
PolicyType.LoadBalancingSimple,100.0.18.0/24,2,stockholm,PolicyStatus.HOLDS,{9},{barcelona:FastEthernet0/0 (100.0.18.0/24)},stockholm
PolicyType.LoadBalancingSimple,100.0.25.0/24,2,vaduz,PolicyStatus.HOLDS,{9},{madrid:FastEthernet0/0 (100.0.25.0/24)},vaduz
PolicyType.LoadBalancingSimple,100.0.29.0/24,2,stockholm,PolicyStatus.HOLDS,{9},{london:FastEthernet0/0 (100.0.29.0/24)},stockholm
PolicyType.LoadBalancingSimple,100.0.29.0/24,2,vaduz,PolicyStatus.HOLDS,{9},{london:FastEthernet0/0 (100.0.29.0/24)},vaduz
PolicyType.LoadBalancingSimple,100.0.30.0/24,2,stockholm,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet0/0 (100.0.30.0/24)},stockholm
PolicyType.LoadBalancingSimple,100.0.30.0/24,2,vaduz,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet0/0 (100.0.30.0/24)},vaduz
PolicyType.LoadBalancingSimple,100.0.6.0/24,2,stockholm,PolicyStatus.HOLDS,{9},{luxembourg:FastEthernet0/0 (100.0.6.0/24)},stockholm
PolicyType.LoadBalancingSimple,100.0.6.0/24,3,vaduz,PolicyStatus.HOLDS,{9},{luxembourg:FastEthernet0/0 (100.0.6.0/24)},vaduz
PolicyType.LoadBalancingSimple,100.0.9.0/24,2,stockholm,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet0/0 (100.0.9.0/24)},stockholm
PolicyType.LoadBalancingSimple,100.0.9.0/24,2,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet0/0 (100.0.9.0/24)},vaduz
PolicyType.LoadBalancingSimple,91.1.0.0/30,2,stockholm,PolicyStatus.HOLDS,{9},{dublin:FastEthernet99/0 (91.1.0.0/30)},stockholm
PolicyType.LoadBalancingSimple,91.1.0.0/30,2,vaduz,PolicyStatus.HOLDS,{9},{dublin:FastEthernet99/0 (91.1.0.0/30)},vaduz
PolicyType.LoadBalancingSimple,91.1.0.4/30,2,stockholm,PolicyStatus.HOLDS,{9},{dublin:FastEthernet99/1 (91.1.0.4/30)},stockholm
PolicyType.LoadBalancingSimple,91.1.0.4/30,2,vaduz,PolicyStatus.HOLDS,{9},{dublin:FastEthernet99/1 (91.1.0.4/30)},vaduz
PolicyType.LoadBalancingSimple,91.17.0.0/30,2,stockholm,PolicyStatus.HOLDS,{9},{luxembourg:FastEthernet99/0 (91.17.0.0/30)},stockholm
PolicyType.LoadBalancingSimple,91.17.0.0/30,3,vaduz,PolicyStatus.HOLDS,{9},{luxembourg:FastEthernet99/0 (91.17.0.0/30)},vaduz
PolicyType.LoadBalancingSimple,91.17.0.4/30,2,stockholm,PolicyStatus.HOLDS,{9},{luxembourg:FastEthernet99/1 (91.17.0.4/30)},stockholm
PolicyType.LoadBalancingSimple,91.17.0.4/30,3,vaduz,PolicyStatus.HOLDS,{9},{luxembourg:FastEthernet99/1 (91.17.0.4/30)},vaduz
PolicyType.LoadBalancingSimple,91.18.0.0/30,2,stockholm,PolicyStatus.HOLDS,{9},{london:FastEthernet99/0 (91.18.0.0/30)},stockholm
PolicyType.LoadBalancingSimple,91.18.0.0/30,2,vaduz,PolicyStatus.HOLDS,{9},{london:FastEthernet99/0 (91.18.0.0/30)},vaduz
PolicyType.LoadBalancingSimple,91.18.0.4/30,2,stockholm,PolicyStatus.HOLDS,{9},{london:FastEthernet99/1 (91.18.0.4/30)},stockholm
PolicyType.LoadBalancingSimple,91.18.0.4/30,2,vaduz,PolicyStatus.HOLDS,{9},{london:FastEthernet99/1 (91.18.0.4/30)},vaduz
PolicyType.LoadBalancingSimple,91.22.0.0/30,2,stockholm,PolicyStatus.HOLDS,{9},{barcelona:FastEthernet99/0 (91.22.0.0/30)},stockholm
PolicyType.LoadBalancingSimple,91.22.0.4/30,2,stockholm,PolicyStatus.HOLDS,{9},{barcelona:FastEthernet99/1 (91.22.0.4/30)},stockholm
PolicyType.LoadBalancingSimple,91.24.0.0/30,2,stockholm,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet99/0 (91.24.0.0/30)},stockholm
PolicyType.LoadBalancingSimple,91.24.0.0/30,2,vaduz,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet99/0 (91.24.0.0/30)},vaduz
PolicyType.LoadBalancingSimple,91.24.0.4/30,2,stockholm,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet99/1 (91.24.0.4/30)},stockholm
PolicyType.LoadBalancingSimple,91.24.0.4/30,2,vaduz,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet99/1 (91.24.0.4/30)},vaduz
PolicyType.LoadBalancingSimple,91.5.0.0/30,2,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},luxembourg
PolicyType.LoadBalancingSimple,91.5.0.0/30,2,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},rotterdam
PolicyType.LoadBalancingSimple,91.5.0.0/30,3,paris,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},paris
PolicyType.LoadBalancingSimple,91.5.0.0/30,4,madrid,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},madrid
PolicyType.LoadBalancingSimple,91.5.0.4/30,2,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},luxembourg
PolicyType.LoadBalancingSimple,91.5.0.4/30,2,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},rotterdam
PolicyType.LoadBalancingSimple,91.5.0.4/30,3,paris,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},paris
PolicyType.LoadBalancingSimple,91.5.0.4/30,4,madrid,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},madrid
PolicyType.LoadBalancingSimple,91.6.0.0/30,2,stockholm,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/0 (91.6.0.0/30)},stockholm
PolicyType.LoadBalancingSimple,91.6.0.0/30,2,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/0 (91.6.0.0/30)},vaduz
PolicyType.LoadBalancingSimple,91.6.0.4/30,2,stockholm,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/1 (91.6.0.4/30)},stockholm
PolicyType.LoadBalancingSimple,91.6.0.4/30,2,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/1 (91.6.0.4/30)},vaduz
PolicyType.LoadBalancingSimple,91.8.0.0/30,2,vaduz,PolicyStatus.HOLDS,{9},{madrid:FastEthernet99/0 (91.8.0.0/30)},vaduz
PolicyType.LoadBalancingSimple,91.8.0.4/30,2,vaduz,PolicyStatus.HOLDS,{9},{madrid:FastEthernet99/1 (91.8.0.4/30)},vaduz
PolicyType.Waypoint,100.0.0.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{lyon:FastEthernet0/0 (100.0.0.0/24)},stockholm
PolicyType.Waypoint,100.0.14.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{brussels:FastEthernet0/0 (100.0.14.0/24)},stockholm
PolicyType.Waypoint,100.0.14.0/24,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{brussels:FastEthernet0/0 (100.0.14.0/24)},vaduz
PolicyType.Waypoint,100.0.14.0/24,zurich,vaduz,PolicyStatus.HOLDS,{9},{brussels:FastEthernet0/0 (100.0.14.0/24)},vaduz
PolicyType.Waypoint,100.0.16.0/24,frankfurt,brussels,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},brussels
PolicyType.Waypoint,100.0.16.0/24,frankfurt,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},luxembourg
PolicyType.Waypoint,100.0.16.0/24,frankfurt,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},rotterdam
PolicyType.Waypoint,100.0.16.0/24,zurich,brussels,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},brussels
PolicyType.Waypoint,100.0.16.0/24,zurich,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},luxembourg
PolicyType.Waypoint,100.0.16.0/24,zurich,madrid,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},madrid
PolicyType.Waypoint,100.0.16.0/24,zurich,paris,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},paris
PolicyType.Waypoint,100.0.16.0/24,zurich,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet0/0 (100.0.16.0/24)},rotterdam
PolicyType.Waypoint,100.0.17.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{dublin:FastEthernet0/0 (100.0.17.0/24)},stockholm
PolicyType.Waypoint,100.0.17.0/24,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{dublin:FastEthernet0/0 (100.0.17.0/24)},vaduz
PolicyType.Waypoint,100.0.17.0/24,zurich,vaduz,PolicyStatus.HOLDS,{9},{dublin:FastEthernet0/0 (100.0.17.0/24)},vaduz
PolicyType.Waypoint,100.0.18.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{barcelona:FastEthernet0/0 (100.0.18.0/24)},stockholm
PolicyType.Waypoint,100.0.25.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{madrid:FastEthernet0/0 (100.0.25.0/24)},stockholm
PolicyType.Waypoint,100.0.25.0/24,zurich,vaduz,PolicyStatus.HOLDS,{9},{madrid:FastEthernet0/0 (100.0.25.0/24)},vaduz
PolicyType.Waypoint,100.0.29.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{london:FastEthernet0/0 (100.0.29.0/24)},stockholm
PolicyType.Waypoint,100.0.29.0/24,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{london:FastEthernet0/0 (100.0.29.0/24)},vaduz
PolicyType.Waypoint,100.0.29.0/24,zurich,vaduz,PolicyStatus.HOLDS,{9},{london:FastEthernet0/0 (100.0.29.0/24)},vaduz
PolicyType.Waypoint,100.0.30.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet0/0 (100.0.30.0/24)},stockholm
PolicyType.Waypoint,100.0.30.0/24,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet0/0 (100.0.30.0/24)},vaduz
PolicyType.Waypoint,100.0.30.0/24,zurich,vaduz,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet0/0 (100.0.30.0/24)},vaduz
PolicyType.Waypoint,100.0.3.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{paris:FastEthernet0/0 (100.0.3.0/24)},stockholm
PolicyType.Waypoint,100.0.3.0/24,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{paris:FastEthernet0/0 (100.0.3.0/24)},vaduz
PolicyType.Waypoint,100.0.3.0/24,zurich,vaduz,PolicyStatus.HOLDS,{9},{paris:FastEthernet0/0 (100.0.3.0/24)},vaduz
PolicyType.Waypoint,100.0.6.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{luxembourg:FastEthernet0/0 (100.0.6.0/24)},stockholm
PolicyType.Waypoint,100.0.6.0/24,zurich,vaduz,PolicyStatus.HOLDS,{9},{luxembourg:FastEthernet0/0 (100.0.6.0/24)},vaduz
PolicyType.Waypoint,100.0.9.0/24,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet0/0 (100.0.9.0/24)},stockholm
PolicyType.Waypoint,100.0.9.0/24,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet0/0 (100.0.9.0/24)},vaduz
PolicyType.Waypoint,100.0.9.0/24,zurich,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet0/0 (100.0.9.0/24)},vaduz
PolicyType.Waypoint,91.1.0.0/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{dublin:FastEthernet99/0 (91.1.0.0/30)},stockholm
PolicyType.Waypoint,91.1.0.0/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{dublin:FastEthernet99/0 (91.1.0.0/30)},vaduz
PolicyType.Waypoint,91.1.0.0/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{dublin:FastEthernet99/0 (91.1.0.0/30)},vaduz
PolicyType.Waypoint,91.1.0.4/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{dublin:FastEthernet99/1 (91.1.0.4/30)},stockholm
PolicyType.Waypoint,91.1.0.4/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{dublin:FastEthernet99/1 (91.1.0.4/30)},vaduz
PolicyType.Waypoint,91.1.0.4/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{dublin:FastEthernet99/1 (91.1.0.4/30)},vaduz
PolicyType.Waypoint,91.17.0.0/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{luxembourg:FastEthernet99/0 (91.17.0.0/30)},stockholm
PolicyType.Waypoint,91.17.0.0/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{luxembourg:FastEthernet99/0 (91.17.0.0/30)},vaduz
PolicyType.Waypoint,91.17.0.4/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{luxembourg:FastEthernet99/1 (91.17.0.4/30)},stockholm
PolicyType.Waypoint,91.17.0.4/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{luxembourg:FastEthernet99/1 (91.17.0.4/30)},vaduz
PolicyType.Waypoint,91.18.0.0/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{london:FastEthernet99/0 (91.18.0.0/30)},stockholm
PolicyType.Waypoint,91.18.0.0/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{london:FastEthernet99/0 (91.18.0.0/30)},vaduz
PolicyType.Waypoint,91.18.0.0/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{london:FastEthernet99/0 (91.18.0.0/30)},vaduz
PolicyType.Waypoint,91.18.0.4/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{london:FastEthernet99/1 (91.18.0.4/30)},stockholm
PolicyType.Waypoint,91.18.0.4/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{london:FastEthernet99/1 (91.18.0.4/30)},vaduz
PolicyType.Waypoint,91.18.0.4/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{london:FastEthernet99/1 (91.18.0.4/30)},vaduz
PolicyType.Waypoint,91.22.0.0/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{barcelona:FastEthernet99/0 (91.22.0.0/30)},stockholm
PolicyType.Waypoint,91.22.0.4/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{barcelona:FastEthernet99/1 (91.22.0.4/30)},stockholm
PolicyType.Waypoint,91.24.0.0/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet99/0 (91.24.0.0/30)},stockholm
PolicyType.Waypoint,91.24.0.0/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet99/0 (91.24.0.0/30)},vaduz
PolicyType.Waypoint,91.24.0.0/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet99/0 (91.24.0.0/30)},vaduz
PolicyType.Waypoint,91.24.0.4/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet99/1 (91.24.0.4/30)},stockholm
PolicyType.Waypoint,91.24.0.4/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet99/1 (91.24.0.4/30)},vaduz
PolicyType.Waypoint,91.24.0.4/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{lisbon:FastEthernet99/1 (91.24.0.4/30)},vaduz
PolicyType.Waypoint,91.26.0.0/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{brussels:FastEthernet99/0 (91.26.0.0/30)},stockholm
PolicyType.Waypoint,91.26.0.0/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{brussels:FastEthernet99/0 (91.26.0.0/30)},vaduz
PolicyType.Waypoint,91.26.0.0/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{brussels:FastEthernet99/0 (91.26.0.0/30)},vaduz
PolicyType.Waypoint,91.26.0.4/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{brussels:FastEthernet99/1 (91.26.0.4/30)},stockholm
PolicyType.Waypoint,91.26.0.4/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{brussels:FastEthernet99/1 (91.26.0.4/30)},vaduz
PolicyType.Waypoint,91.26.0.4/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{brussels:FastEthernet99/1 (91.26.0.4/30)},vaduz
PolicyType.Waypoint,91.29.0.0/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{lyon:FastEthernet99/0 (91.29.0.0/30)},stockholm
PolicyType.Waypoint,91.29.0.4/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{lyon:FastEthernet99/1 (91.29.0.4/30)},stockholm
PolicyType.Waypoint,91.5.0.0/30,frankfurt,brussels,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},brussels
PolicyType.Waypoint,91.5.0.0/30,frankfurt,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},luxembourg
PolicyType.Waypoint,91.5.0.0/30,frankfurt,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},rotterdam
PolicyType.Waypoint,91.5.0.0/30,zurich,brussels,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},brussels
PolicyType.Waypoint,91.5.0.0/30,zurich,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},luxembourg
PolicyType.Waypoint,91.5.0.0/30,zurich,madrid,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},madrid
PolicyType.Waypoint,91.5.0.0/30,zurich,paris,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},paris
PolicyType.Waypoint,91.5.0.0/30,zurich,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/0 (91.5.0.0/30)},rotterdam
PolicyType.Waypoint,91.5.0.4/30,frankfurt,brussels,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},brussels
PolicyType.Waypoint,91.5.0.4/30,frankfurt,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},luxembourg
PolicyType.Waypoint,91.5.0.4/30,frankfurt,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},rotterdam
PolicyType.Waypoint,91.5.0.4/30,zurich,brussels,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},brussels
PolicyType.Waypoint,91.5.0.4/30,zurich,luxembourg,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},luxembourg
PolicyType.Waypoint,91.5.0.4/30,zurich,madrid,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},madrid
PolicyType.Waypoint,91.5.0.4/30,zurich,paris,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},paris
PolicyType.Waypoint,91.5.0.4/30,zurich,rotterdam,PolicyStatus.HOLDS,{9},{vaduz:FastEthernet99/1 (91.5.0.4/30)},rotterdam
PolicyType.Waypoint,91.6.0.0/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/0 (91.6.0.0/30)},stockholm
PolicyType.Waypoint,91.6.0.0/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/0 (91.6.0.0/30)},vaduz
PolicyType.Waypoint,91.6.0.0/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/0 (91.6.0.0/30)},vaduz
PolicyType.Waypoint,91.6.0.4/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/1 (91.6.0.4/30)},stockholm
PolicyType.Waypoint,91.6.0.4/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/1 (91.6.0.4/30)},vaduz
PolicyType.Waypoint,91.6.0.4/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{rotterdam:FastEthernet99/1 (91.6.0.4/30)},vaduz
PolicyType.Waypoint,91.7.0.0/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{paris:FastEthernet99/0 (91.7.0.0/30)},stockholm
PolicyType.Waypoint,91.7.0.0/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{paris:FastEthernet99/0 (91.7.0.0/30)},vaduz
PolicyType.Waypoint,91.7.0.0/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{paris:FastEthernet99/0 (91.7.0.0/30)},vaduz
PolicyType.Waypoint,91.7.0.4/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{paris:FastEthernet99/1 (91.7.0.4/30)},stockholm
PolicyType.Waypoint,91.7.0.4/30,frankfurt,vaduz,PolicyStatus.HOLDS,{9},{paris:FastEthernet99/1 (91.7.0.4/30)},vaduz
PolicyType.Waypoint,91.7.0.4/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{paris:FastEthernet99/1 (91.7.0.4/30)},vaduz
PolicyType.Waypoint,91.8.0.0/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{madrid:FastEthernet99/0 (91.8.0.0/30)},stockholm
PolicyType.Waypoint,91.8.0.0/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{madrid:FastEthernet99/0 (91.8.0.0/30)},vaduz
PolicyType.Waypoint,91.8.0.4/30,frankfurt,stockholm,PolicyStatus.HOLDS,{9},{madrid:FastEthernet99/1 (91.8.0.4/30)},stockholm
PolicyType.Waypoint,91.8.0.4/30,zurich,vaduz,PolicyStatus.HOLDS,{9},{madrid:FastEthernet99/1 (91.8.0.4/30)},vaduz
